FID,lng,lat,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20
217,2.173937582,41.39269323,0,0.437002083,0.005933333,0,0.035903125,0,0.257846875,0,0,0,0,0.047234375,0.00220625,0,0,0,0,0,0,0.000204167
218,2.176256088,41.39265936,0,0.16798125,0.012471875,0,0.195515625,0,0.477966667,0,0,0.019517708,0,0.067042708,0.013875,0,0,0.000223958,0,0.015086458,0,0.000138542
219,2.175133766,41.39267226,0.00070625,0.215334375,0.000814583,0,0.194194792,0,0.461,0,0,0,0,0.015926042,0.001042708,0,0,0,0,0.000888542,0,0
220,2.178426559,41.39260352,0.000563542,0.2757125,0.062442708,0,0.051838542,0,0.433527083,0,3.02E-05,0.022441667,0,0.021419792,0.005476042,0,0,0,0.000134375,0.006833333,0,0
221,2.177339967,41.39261882,0.000563542,0.2757125,0.062442708,0,0.051838542,0,0.433527083,0,3.02E-05,0.022441667,0,0.021419792,0.005476042,0,0,0,0.000134375,0.006833333,0,0
222,2.144300911,41.39206518,0.000392708,0.300446875,0.013566667,0,0.110395833,0,0.439045833,0,0,0,0,0.095832292,0.007526042,0,0,0.000286458,0,0.000336458,0,0
223,2.145249211,41.39222329,0.009591667,0.35096875,0.025029167,0,0.02298125,0,0.516158333,0,0,0,0,0.012666667,0.001615625,0,0,0,0,0,0,0
224,2.145707039,41.39225025,0.028866667,0.228784375,0.001885417,0.004745833,0.1878,0,0.260697917,0,0,0,3.23E-05,0.059989583,0.0012,0,0,0,0,0.010755208,0,0
225,2.146168024,41.39220542,0.00069375,0.402939583,0.009008333,0,0.058911458,6.15E-05,0.363373958,0,0.000182292,0.000125,4.58E-05,0.04936875,0.008940625,0,0.00041875,0,0,0.001984375,0,0.000252083
226,2.146790784,41.39221303,0,0.438158333,0.0069,0,0.03040625,0,0.39776875,0,0,0,0,0.072744792,0.004905208,0,0,0,0,0.000647917,0,7.81E-05
227,2.147736872,41.39206965,0.000157292,0.379375,0.00456875,0.000767708,0.066163542,0,0.378851042,0,0,0,0,0.074063542,0.003685417,0,0,0,0,2.29E-05,0,0
228,2.149228357,41.39260261,0.000144792,0.27241875,0.001264583,0.026979167,0.15880625,0,0.374865625,0,0,0,0,0.010397917,0.007355208,0.001338542,0,9.38E-06,0,0.004921875,0,1.35E-05
229,2.15004008,41.3920232,0,0.387432292,0.008752083,0,0.0542875,0,0.41454375,0,0,0,0,0.041152083,0.009776042,0,0,0,0,0,0,0
230,2.149451842,41.39246224,0,0.404882292,0.0005875,0,0.04075,0,0.394258333,0,0,0,0,0.080466667,0.009444792,0,0,0,0,0.000898958,0,0
231,2.148847143,41.39201257,0,0.41341875,0.004838542,2.29E-05,0.020475,0,0.400527083,0,0,0,0,0.085202083,0.008359375,0,0.000305208,0,0,0.001938542,0,0.00019375
232,2.151145477,41.39205215,0,0.401089583,0.004594792,0,0.060305208,0,0.36935,0,0,0,0,0.105854167,0.004323958,0,2.08E-06,0,0,0.000547917,0,0
233,2.152287985,41.39203938,0.000135417,0.42108125,0.003105208,0,0.036602083,0,0.382878125,0,0,0,0,0.07781875,0.008577083,0,0.000323958,0,0,0.00078125,0,0
234,2.154519206,41.39205926,3.96E-05,0.342326042,0.011295833,0,0.063194792,0,0.533628125,0,0,0,0,0.0102625,0.000201042,0,0,0,0,5.42E-05,0,0
235,2.153405106,41.39204688,0,0.195311458,0.004941667,0,0.20336875,0,0.4304,0,0,0,0,0.013285417,0.00461875,0,0,0,0,0.001052083,0,0
236,2.155265134,41.39207957,0.000422917,0.361533333,0.004395833,0.000432292,0.0658125,0,0.281736458,0,0,0,0,0.05649375,0.003640625,0,0,0,0,0.009144792,0,0
237,2.155829704,41.39217074,0.31028125,0,0,0.115698958,0,0.020123958,0,0,0.032988542,0,0.030564583,0,0,0,0.01394375,0.119210417,0,0,0.0977375,0.123447917
238,2.156782032,41.39206013,0.000821875,0.27276875,0.00163125,2.08E-06,0.186121875,0,0.288315625,0,0,0,0,0.1161,0.005880208,0,0,0,0,0,0,0
239,2.159074246,41.39201354,0.000579167,0.364642708,0.00535625,0.00521875,0.06659375,0,0.2205125,0,0,0,0,0.154626042,0.013248958,0,0,8.02E-05,0,0.0018875,0,0.000470833
240,2.157933987,41.39203917,0,0.396620833,0.019915625,0,0.042285417,0,0.30916875,0,0,0,0,0.167998958,0.005047917,0,0.000403125,0,0,0.0004,0,0
241,2.161680552,41.39237465,0.00021875,0.342572917,0.022675,0.000145833,0.050438542,0,0.399307292,0,0,1.04E-06,0,0.030240625,0.001853125,0,0,0,0,0.000205208,0,0.000725
242,2.160749893,41.39247875,0,0.244357292,0.044628125,0,0.099038542,0,0.452641667,0,0,0,0,0.031657292,0.004480208,0,0,0,3.02E-05,4.17E-06,0,0
243,2.162633528,41.39215951,3.02E-05,0.283966667,0.0248,0,0.130269792,0,0.364167708,0,0,0,0,0.090969792,0.002652083,0,0.000198958,0,0,0,0,0
244,2.164906674,41.39218722,0,0.207790625,0.001373958,0,0.205094792,0,0.520159375,0,0,0,0,0.020648958,0.000714583,0,0,0,0,0.001077083,0,0
245,2.164163299,41.39161664,0.001797917,0.434261458,0.005447917,0,0.039405208,0,0.3900625,0,0,0,0,0.07635,0.004286458,0,0,0,0,0.001267708,8.85E-05,0.000951042
246,2.167519726,41.39244505,0.000228125,0.338009375,0.010670833,0,0.058728125,0,0.34795625,0,0,0,0,0.029126042,0.003194792,9.38E-06,0,0,0,0.001122917,0,0
247,2.166744369,41.3918592,0.001526042,0.259620833,0.008540625,0,0.150775,0,0.4852,0,0,0.006755208,0,0.012384375,0.000635417,0,0,0,0,0.003907292,0,0
248,2.1678407,41.3921896,0,0.43021875,0.003047917,4.17E-06,0.01088125,0,0.418923958,0,0,0,0,0.046496875,0.005903125,0,0.002120833,0,0,7.71E-05,0,0.000138542
249,2.169774631,41.39243932,0,0.323840625,0.020814583,0,0.073101042,0,0.4506,0,0,0,0,0.0976625,0.002492708,0,0,0,0,0.001939583,0,0
250,2.169205067,41.39200898,0,0.403878125,0.013471875,0.000555208,0.05145625,0,0.316578125,0,0,0,0,0.01734375,0.00685,0,0,0,0,9.06E-05,0,0
251,2.170406843,41.39195572,0.454152083,0,0,0.073573958,0,0.006867708,0,0.088734375,0.037166667,0,0.002886458,0,0.000255208,0,0.007384375,0.021509375,0,0,0.142367708,0.010733333
252,2.172144142,41.39234478,0.00136875,0.385478125,0.008676042,7.92E-05,0.058105208,0,0.287058333,0,0,5.31E-05,0,0.041854167,0.001829167,0,0,0,0,0,0,0
253,2.171559644,41.39190075,0.000123958,0.432445833,0.002071875,0,0.033327083,0,0.339127083,0,0.000297917,0,0,0.056159375,0.00443125,0,7.50E-05,0,0,0.01370625,0,4.17E-06
254,2.17281601,41.39185318,0,0.405711458,0.002404167,3.54E-05,0.0305875,0,0.341222917,0,0,0,0,0.080809375,0.008840625,0,0,0,0,0.001029167,0,0
255,2.175117348,41.39181533,0,0.41220625,0.001969792,0,0.044805208,0,0.368623958,0,0,0,0,0.077629167,0.001251042,0,0,0,0,0,0,0
256,2.17400886,41.39183263,0,0.392730208,0.003361458,0,0.053085417,0,0.409778125,0,0,0,0,0.062247917,0.005760417,0,0,0,0,0,0,0
257,2.177356524,41.39182598,0.000392708,0.300446875,0.013566667,0,0.110395833,0,0.439045833,0,0,0,0,0.095832292,0.007526042,0,0,0.000286458,0,0.000336458,0,0
258,2.17623967,41.39180243,0,0.358884375,0.015119792,0,0.043390625,0,0.389629167,0,0,0,0,0.118309375,0.006305208,0,0,0,0,0.000590625,0,0
259,2.14571277,41.39185777,0,0.401089583,0.004594792,0,0.060305208,0,0.36935,0,0,0,0,0.105854167,0.004323958,0,2.08E-06,0,0,0.000547917,0,0
